TradeSignalId,Name,Symbol,OptionsChain,GoodParsedText,BidInitial,AskInitial,FinalLimitPrice,InstrumentType,TradeSide,PositionEffect,OptionType,UnoReceivedDt,StrategyType,PlatformType,CaptureProtocol
16,Paradigm Mastermind Group,GDDY,NULL,NULL,212.01,213.6,213.62,Stock,BUY,ToOpen,None,2/3/25 4:06 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,NULL,GDDY250221C00215000,NULL,8.1,8.5,8.5,Option,BUY,ToOpen,CALL,2/3/25 4:06 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,GDDY,NULL,NULL,208,212.5,212.5,Stock,BUY,ToOpen,None,2/5/25 8:23 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,NULL,GDDY250221C002150000,NULL,0,0,0,Option,BUY,ToOpen,CALL,2/5/25 8:23 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,NULL,GDDY250221C002150000,NULL,0,0,0,Option,BUY,ToOpen,CALL,2/5/25 8:44 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,GDDY,NULL,NULL,208,212.5,212.5,Stock,BUY,ToOpen,None,2/5/25 9:25 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,NULL,GDDY250221C002150000,NULL,0,0,0,Option,BUY,ToOpen,CALL,2/5/25 9:25 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,GDDY,NULL,NULL,211.91,212.04,212.06,Stock,BUY,ToOpen,None,2/7/25 12:28 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,NULL,GDDY250221C002150000,NULL,0,0,0,Option,BUY,ToOpen,CALL,2/7/25 12:28 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,GDDY,NULL,NULL,209.82,211.95,211.97,Stock,BUY,ToOpen,None,2/7/25 2:59 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,NULL,GDDY25022100215000,NULL,0,0,0,Option,BUY,ToOpen,CALL,2/7/25 2:59 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,GDDY,NULL,NULL,209.82,211.95,211.97,Stock,BUY,ToOpen,None,2/7/25 3:13 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,NULL,GDDY250221C00215000,NULL,6.8,7.3,7.3,Option,BUY,ToOpen,CALL,2/7/25 3:14 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,GDDY,NULL,NULL,209.82,211.95,211.97,Stock,BUY,ToOpen,None,2/7/25 3:20 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
16,Paradigm Mastermind Group,NULL,GDDY250221C00215000,NULL,6.8,7.3,7.3,Option,BUY,ToOpen,CALL,2/7/25 3:21 PM,ElmoStrategy,ElmoPlatform,ElmoCapture
