Date,Open,High,Low,Close,Volume
2017-10-06,30.91,31.57,30.80,30.84,1320930
2017-10-09,30.67,31.74,30.63,31.23,539200
2017-10-10,30.91,31.45,30.57,30.58,677602
2017-10-11,30.67,30.85,29.99,30.14,615306
2017-10-12,30.16,30.40,29.60,29.93,811629
2017-10-13,29.59,29.67,29.10,29.34,732143
2017-10-16,29.05,29.28,28.78,28.85,954602
2017-10-17,28.93,29.20,28.79,28.98,908017
2017-10-18,28.78,28.84,28.58,28.67,835996
2017-10-19,29.73,30.04,28.40,28.40,1521881
2017-10-20,28.15,28.27,28.00,28.08,879126
2017-10-23,27.88,29.33,27.86,29.20,2123056
2017-10-24,28.47,29.47,28.27,29.41,1785142
2017-10-25,29.60,32.25,29.46,29.61,2323942
2017-10-26,29.78,30.32,29.38,29.81,1418829
2017-10-27,29.33,29.84,28.31,28.37,915445
2017-10-30,28.82,29.39,28.16,28.71,1375882
2017-10-31,28.45,28.61,28.08,28.11,759526
2017-11-01,27.90,28.59,27.81,28.35,931248
2017-11-02,28.30,29.14,27.96,28.18,1166246
2017-11-03,27.85,28.22,27.76,27.98,976230
2017-11-06,27.88,27.92,27.62,27.63,720290
2017-11-07,27.66,28.35,27.49,27.91,1062323
2017-11-08,28.06,28.28,27.55,27.92,646268
2017-11-09,28.93,29.80,28.08,28.13,2004838
2017-11-10,28.59,29.11,28.40,28.81,837872
2017-11-13,29.44,29.44,28.53,29.18,644578
2017-11-14,29.44,29.98,29.02,29.03,1156297
2017-11-15,30.08,30.80,29.65,30.11,1192668
2017-11-16,29.32,29.32,28.72,28.96,1232082
2017-11-17,29.05,29.10,28.42,28.78,1183647
2017-11-20,28.21,28.28,27.65,27.66,1008039
2017-11-21,27.12,27.21,26.47,26.70,1548551
2017-11-22,26.38,26.63,26.22,26.39,994929
2017-11-24,26.21,26.33,26.13,26.27,305861
2017-11-27,26.35,26.51,26.06,26.12,789947
2017-11-28,25.97,26.25,25.74,25.93,1555324
2017-11-29,25.91,26.74,25.89,26.36,1668891
2017-11-30,25.98,26.83,25.96,26.65,1374365
2017-12-01,26.81,30.00,26.54,27.24,4219937
2017-12-04,26.04,27.21,25.83,27.21,1880869
2017-12-05,26.79,27.20,26.22,27.07,1485294
2017-12-06,27.28,27.38,26.77,26.87,1284243
2017-12-07,26.90,26.93,25.82,25.82,1158581
2017-12-08,25.61,25.67,25.10,25.16,1258419
2017-12-11,25.07,25.10,24.23,24.27,978293
2017-12-12,24.21,24.44,24.12,24.33,900997
2017-12-13,24.17,24.40,24.09,24.39,583916
2017-12-14,24.17,24.59,24.05,24.16,883934
2017-12-15,23.99,24.01,23.18,23.32,1264700
2017-12-18,23.05,23.22,22.83,22.97,1194711
2017-12-19,22.99,23.41,22.98,23.11,993934
2017-12-20,22.74,23.17,22.73,23.16,1544189
2017-12-21,22.97,23.21,22.84,22.92,1457288
2017-12-22,22.86,23.21,22.75,23.11,500273
2017-12-26,23.23,23.26,22.79,23.09,476412
2017-12-27,22.95,23.25,22.69,23.08,939801
2017-12-28,23.04,23.07,22.79,22.89,540824
2017-12-29,22.68,23.47,22.68,23.38,855587
2018-01-02,23.03,23.14,22.29,22.30,926399
2018-01-03,22.07,22.07,21.79,21.92,790796
2018-01-04,21.66,21.89,21.57,21.82,844378
2018-01-05,21.77,21.93,21.65,21.65,722635
2018-01-08,21.77,21.86,21.36,21.58,665818
2018-01-09,21.41,21.81,21.35,21.80,754480
2018-01-10,22.03,22.30,21.44,21.49,1254551
2018-01-11,21.36,21.50,21.24,21.41,655951
2018-01-12,21.34,21.68,21.28,21.57,875296
2018-01-16,21.58,22.99,21.53,22.59,2636670
2018-01-17,22.50,23.14,21.78,22.49,2581028
2018-01-18,22.62,23.08,22.00,22.59,2610724
2018-01-19,22.28,22.71,22.12,22.25,1417265
2018-01-22,22.42,22.42,21.60,22.01,1162965
2018-01-23,22.02,22.38,21.84,22.27,1536686
2018-01-24,22.27,23.31,22.25,22.75,2348422
