Date,Open,High,Low,Close,Volume
2018-10-08,29.14,30.54,28.48,28.62,55935564
2018-10-09,29.36,29.83,28.35,29.04,47171621
2018-10-10,29.65,34.59,29.65,34.49,113546548
2018-10-11,33.56,38.69,32.64,34.96,135805433
2018-10-12,33.49,37.38,33.34,33.89,103255447
2018-10-15,34.84,35.67,33.63,34.66,65045556
2018-10-16,33.39,33.80,31.94,32.21,52266702
2018-10-17,31.98,34.30,31.95,32.00,66196480
2018-10-18,32.83,35.81,32.83,34.36,82855095
2018-10-19,34.30,35.48,33.44,34.32,67783937
2018-10-22,34.06,36.03,33.92,34.66,59206841
2018-10-23,37.56,38.58,35.08,35.11,80715707
2018-10-24,35.64,39.48,35.45,38.23,84551873
2018-10-25,38.32,39.48,37.10,38.74,68298167
2018-10-26,40.39,41.66,38.70,39.11,100970531
2018-10-29,38.60,42.20,37.98,39.92,78715056
2018-10-30,40.60,40.96,38.54,39.05,68429405
2018-10-31,38.02,38.61,36.94,37.91,44219680
2018-11-01,37.70,38.30,36.15,36.20,39001203
2018-11-02,35.74,38.07,35.22,36.47,49156698
2018-11-05,36.73,36.99,35.88,36.22,26189500
2018-11-06,36.28,36.38,34.83,34.88,25598760
2018-11-07,33.80,33.82,32.33,32.33,39411162
2018-11-08,32.59,32.86,31.56,32.44,30413970
2018-11-09,32.93,34.22,32.68,33.43,38056773
2018-11-12,33.39,36.27,33.26,35.98,48939767
2018-11-13,36.08,37.31,35.32,36.13,47684581
2018-11-14,35.59,38.31,35.50,37.22,48588307
2018-11-15,37.97,38.88,36.46,36.51,56699368
2018-11-16,37.45,37.82,34.80,34.92,40350560
2018-11-19,35.19,37.48,34.90,37.01,47300800
2018-11-20,39.53,40.31,38.72,39.12,65254876
2018-11-21,38.48,38.99,37.88,38.52,31943684
2018-11-23,39.16,39.46,38.31,38.76,15540393
2018-11-26,37.85,37.89,36.25,36.36,23853541
2018-11-27,36.87,37.28,35.72,35.99,26341723
2018-11-28,35.35,36.21,34.48,34.95,32123086
2018-11-29,35.40,36.74,34.92,35.26,33490177
2018-11-30,35.72,35.88,33.96,34.00,29040300
2018-12-03,32.04,33.00,31.83,32.36,34297734
2018-12-04,32.92,37.41,32.23,36.76,68361809
2018-12-06,39.80,41.66,37.42,37.45,82107927
2018-12-07,37.69,41.01,36.90,39.98,62103415
2018-12-10,40.37,42.38,39.61,39.72,57105863
2018-12-11,38.73,41.29,38.59,39.64,39633118
2018-12-12,38.80,39.77,38.32,39.50,31418885
2018-12-13,39.02,39.92,38.55,39.06,33531276
2018-12-14,39.89,40.86,39.39,40.31,34185167
2018-12-17,40.97,43.41,40.32,42.13,53820612
2018-12-18,41.78,43.98,41.71,42.79,48039337
2018-12-19,42.73,43.96,40.60,43.37,70685198
2018-12-20,43.72,46.16,42.98,44.22,62706851
2018-12-21,44.82,47.68,44.16,47.18,72874823
2018-12-24,47.70,49.86,47.42,49.86,32036201
2018-12-26,49.13,50.37,46.68,47.67,51935123
2018-12-27,49.64,51.99,48.31,48.36,65867748
2018-12-28,48.88,50.34,47.55,48.78,48336827
2018-12-31,47.47,48.08,46.65,46.88,37630098
2019-01-02,48.55,48.80,45.22,45.41,36129684
2019-01-03,46.47,48.65,46.26,47.54,41068557
2019-01-04,45.69,46.07,43.56,43.63,38960429
2019-01-07,43.51,44.15,42.35,42.95,31258108
2019-01-08,42.17,43.63,41.85,41.93,26176819
2019-01-09,41.66,42.01,40.54,41.13,28228576
2019-01-10,41.75,42.30,40.59,40.65,26950980
2019-01-11,41.17,41.32,39.24,39.43,26209871
2019-01-14,40.35,40.43,38.82,39.41,25575751
2019-01-15,39.22,39.24,37.61,38.14,27795042
2019-01-16,37.30,38.79,37.14,38.54,21806716
2019-01-17,38.67,38.71,37.41,37.60,25686516
2019-01-18,36.91,37.51,36.35,37.12,33140041
2019-01-22,37.47,40.87,37.40,40.67,39568263
2019-01-23,39.68,42.50,39.60,39.90,31455374
2019-01-24,40.12,40.64,38.65,38.87,24097067
2019-01-25,37.82,38.09,37.11,37.19,26963243
2019-01-28,38.60,39.99,38.54,38.74,21756652
2019-01-29,38.31,39.29,38.00,38.31,13159687
2019-05-02,26.65,27.74,26.26,26.71,23617264
2019-05-03,25.99,26.04,25.31,25.36,16486534
2019-05-06,27.96,28.22,26.66,27.09,41573799
2019-05-07,28.41,32.07,28.14,30.25,83764603
2019-05-08,30.99,31.54,29.61,30.57,42945436
2019-05-09,32.40,33.29,30.31,30.41,59272827
2019-05-10,30.88,31.64,28.14,28.21,60009665
2019-05-13,31.67,32.59,30.82,32.43,57617733
2019-05-14,31.24,31.44,30.23,30.69,36312796
2019-05-15,31.50,31.72,29.27,29.34,31096338
2019-05-16,29.13,29.15,27.91,28.16,28621955
2019-05-17,29.24,29.26,27.73,28.54,40993501
2019-05-20,29.31,29.80,28.40,28.84,31940492
2019-05-21,28.00,28.02,27.28,27.30,22724100
2019-05-22,27.60,27.69,26.93,27.27,27364941
2019-05-23,28.25,29.50,28.25,29.05,41657619
2019-05-24,28.17,28.80,27.88,28.09,23942897
2019-05-28,28.22,29.28,27.76,29.11,21714633
2019-05-29,29.87,30.37,29.32,29.76,32279272
2019-05-30,29.11,29.88,28.84,29.25,19814523
2019-05-31,30.73,30.89,29.90,30.40,27934565
2019-06-03,30.40,31.41,29.82,30.46,28475948
2019-06-04,29.81,30.24,28.96,28.99,23449393
2019-06-05,28.65,29.33,28.22,28.23,22362794
2019-06-06,28.24,28.55,27.77,27.92,17154866
2019-06-07,27.77,28.25,27.60,28.21,21421701
2019-06-10,27.71,28.24,27.61,27.77,14036628
2019-06-11,27.40,28.30,27.30,27.94,18236604
2019-06-12,28.11,28.30,27.66,27.75,13943027
2019-06-13,27.45,27.90,27.33,27.66,16474227
2019-06-14,27.80,28.06,27.25,27.26,13310678
2019-06-17,27.29,27.36,26.88,26.92,14161415
2019-06-18,26.54,26.98,26.35,26.85,24408318
2019-06-19,26.65,26.93,25.76,25.78,28061597
2019-06-20,25.46,26.82,25.26,26.09,32678115
2019-06-21,26.20,26.75,25.88,26.70,18266992
2019-06-24,26.45,26.52,26.14,26.37,12310018
2019-06-25,26.40,27.18,26.37,27.01,17042336
2019-06-26,26.52,27.05,26.39,26.83,13072463
2019-06-27,26.65,26.80,26.20,26.21,14396087
2019-06-28,26.13,26.30,25.44,25.44,17022970
2019-07-01,24.55,25.08,24.46,24.58,28560010
2019-07-02,24.60,24.60,23.50,23.52,25355020
2019-07-03,23.67,23.88,23.42,23.53,15061572
2019-07-05,24.00,24.71,23.50,23.69,23519144
2019-07-08,24.12,24.47,23.90,24.34,17630666
2019-07-09,24.96,24.96,24.22,24.36,14524326
2019-07-10,23.98,23.99,23.42,23.45,19422575
2019-07-11,23.23,23.60,23.02,23.19,19961780
2019-07-12,23.01,23.19,22.71,22.78,18052230
2019-07-15,22.69,22.93,22.58,22.75,15738614
2019-07-16,22.60,22.90,22.29,22.84,25176491
2019-07-18,23.34,23.72,22.71,22.92,26588089
2019-07-22,23.35,23.48,22.72,22.73,21024741
2019-07-23,22.52,22.88,22.08,22.16,18213793
2019-07-25,21.66,22.60,21.66,22.06,29433177
2019-07-26,21.79,21.83,21.46,21.64,18697285
2019-07-30,22.26,22.59,21.94,22.56,22878885
2019-07-31,22.31,24.34,21.93,23.84,52143743
2019-08-01,23.64,26.14,22.56,25.37,108186858
2019-08-02,25.50,26.69,25.27,25.35,68780739
2019-08-05,27.47,30.12,27.28,30.00,72673910
2019-08-06,28.22,29.67,27.46,28.17,56373737
2019-08-07,29.44,30.09,27.48,27.78,52871931
2019-08-08,27.06,27.41,25.81,25.94,33239397
2019-08-09,26.43,27.46,26.18,26.77,37329161
2019-08-12,27.35,29.25,27.25,29.11,24532113
2019-08-13,29.35,29.40,26.55,26.61,41281634
2019-08-14,28.59,30.59,28.07,29.88,62427776
2019-08-15,29.72,31.00,29.37,29.84,33757722
2019-08-16,29.09,29.14,27.96,27.98,26801758
2019-08-19,26.85,27.00,25.90,26.09,27895801
2019-08-20,26.26,26.79,26.01,26.66,26919492
2019-08-21,25.53,25.73,25.08,25.11,27208787
2019-08-22,25.09,26.46,25.08,25.73,30277151
2019-08-23,26.63,29.46,25.46,28.26,75697874
2019-08-26,27.53,28.97,27.44,27.95,31392633
2019-08-27,27.63,29.39,27.54,28.88,26169184
2019-08-28,29.33,29.75,27.98,28.01,27409123
2019-08-29,27.18,27.44,26.58,26.80,27996408
2019-08-30,26.30,27.64,26.30,27.16,27545115
2019-09-03,28.00,28.45,27.52,28.02,35490460
2019-09-04,27.09,27.59,26.37,26.39,35736832
2019-09-05,25.79,25.85,25.15,25.46,40097973
2019-09-06,25.14,25.32,24.58,24.62,29605787
2019-09-09,24.27,25.14,24.22,24.49,30547934
2019-09-10,24.82,25.18,24.34,24.39,29622976
2019-09-11,24.37,24.46,23.83,23.88,33108154
2019-09-12,23.57,23.90,23.17,23.33,41887386
2019-09-13,23.16,23.33,22.82,23.04,31930457
2019-09-16,23.60,23.67,23.01,23.53,27398825
2019-09-17,23.49,23.73,23.27,23.27,24765873
2019-09-18,23.10,23.69,22.35,22.35,51479186
2019-09-19,22.25,22.32,21.80,22.15,32343568
2019-09-20,21.92,23.49,21.83,23.48,37197899
2019-09-23,23.38,23.44,22.70,22.81,22505636
2019-09-24,22.52,24.34,22.45,24.17,63258555
2019-09-25,24.10,24.97,23.40,23.49,41102827
2019-09-26,23.55,24.26,23.53,23.73,31051799
2019-09-27,23.51,25.12,23.38,24.42,53712251
2019-09-30,24.18,24.21,23.34,23.37,23520587
2019-10-01,23.13,25.00,23.05,24.99,46589921
2019-10-02,25.48,26.76,25.47,26.51,81350502
2019-10-03,26.36,27.10,25.30,25.32,48469888
2019-10-04,25.25,25.27,23.99,24.08,28924653
2019-10-07,24.42,24.68,23.76,24.34,28676462
2019-10-08,25.20,26.35,24.93,26.25,48601362
2019-10-09,25.45,25.83,24.76,25.06,29224169
2019-10-10,25.32,25.40,24.35,24.35,34024636
2019-10-11,23.70,23.82,22.62,23.14,72510320
2019-10-14,23.10,23.11,22.11,22.11,27538193
2019-10-15,21.84,21.90,21.36,21.56,43123813
2019-10-16,21.66,21.88,21.29,21.33,27576990
2019-10-17,21.21,21.43,20.96,21.15,25375823
2019-10-18,21.38,21.76,21.03,21.27,32093234
2019-10-21,21.00,21.08,20.57,20.59,17815794
2019-10-22,20.58,21.09,20.42,21.08,19935350
2019-10-23,21.15,21.17,20.69,20.70,17358565
2019-10-24,20.57,20.95,20.42,20.55,24616650
2019-10-25,20.57,20.60,19.78,19.87,25558735
2019-10-28,19.71,20.09,19.65,20.05,25591334
2019-10-29,20.17,20.27,19.84,19.94,22799623
2019-10-30,19.97,20.45,19.31,19.31,38559956
2019-10-31,19.68,20.20,19.54,19.70,29442278
2019-11-01,19.16,19.27,18.82,18.88,29363532
2019-11-04,18.61,19.06,18.55,19.04,21698403
2019-11-05,19.00,19.41,18.95,19.39,22110200
2019-11-06,19.32,19.61,19.10,19.11,28316383
2019-11-07,18.83,19.19,18.80,18.92,30553744
2019-11-08,19.09,19.28,18.62,18.66,26663871
2019-11-11,19.00,19.08,18.40,18.44,21739770
2019-11-12,18.43,18.53,18.20,18.35,26011005
2019-11-13,18.55,18.63,18.28,18.40,26906525
2019-11-14,18.53,18.69,18.13,18.14,22044678
2019-11-15,17.90,17.98,17.38,17.48,36737306
2019-11-18,17.40,17.58,17.26,17.35,23853998
2019-11-19,17.29,17.66,17.22,17.62,29793483
2019-11-20,17.63,18.39,17.38,17.54,44894650
2019-11-21,17.64,18.14,17.59,17.72,30480231
2019-11-22,17.51,17.70,17.16,17.16,25939802
2019-11-25,16.90,16.90,16.42,16.43,26582182
2019-11-26,16.40,16.50,16.18,16.19,28357700
2019-11-27,16.16,16.22,16.10,16.14,18464494
2019-11-29,16.35,16.54,16.28,16.51,16046936
2019-12-02,16.52,17.63,16.46,17.51,53829318
2019-12-03,18.74,19.04,18.31,18.38,91321918
2019-12-04,17.84,17.98,17.34,17.55,41667270
2019-12-05,17.29,17.88,17.26,17.27,33053613
2019-12-06,16.67,16.97,16.58,16.74,38467661
2019-12-09,16.81,17.80,16.72,17.72,33497949
2019-12-10,17.50,17.97,17.27,17.42,34437382
2019-12-11,17.44,17.54,17.07,17.08,25681171
2019-12-12,17.18,17.29,16.18,16.24,63475025
2019-12-13,16.13,16.54,15.41,15.42,72136013
2019-12-16,15.07,15.23,14.88,15.08,33178325
2019-12-17,15.05,15.28,14.97,15.12,29802587
2019-12-18,14.91,15.28,14.87,15.12,28925338
2019-12-19,15.18,15.25,14.86,14.89,28681284
2019-12-20,14.81,15.04,14.76,15.00,24748028
2019-12-23,15.00,15.13,14.97,15.04,14653846
2019-12-24,15.03,15.10,14.90,14.95,9442533
2019-12-26,14.82,14.95,14.80,14.85,13388562
2019-12-27,14.86,15.44,14.85,15.42,25950220
2019-12-30,15.36,15.96,15.35,15.82,34003981
2019-12-31,15.97,16.06,14.94,14.98,32556521
2020-01-02,14.71,15.04,14.45,14.46,27594117
2020-01-03,15.67,15.74,14.95,15.26,45957768
2020-01-06,15.74,15.79,15.04,15.12,25203079
2020-01-07,15.16,15.36,14.85,14.95,26765853
2020-01-08,14.91,15.00,14.33,14.58,46428791
2020-01-09,14.38,14.52,14.12,14.13,31203442
2020-01-10,14.16,14.28,13.96,14.10,31204849
2020-01-13,13.96,14.11,13.72,13.77,26129293
2020-01-14,13.79,13.90,13.51,13.64,33015156
2020-01-15,13.66,13.71,13.51,13.58,29395605
2020-01-16,13.42,13.46,13.26,13.32,26889321
2020-01-17,13.29,13.56,13.25,13.36,33133173
2020-01-21,13.50,13.54,13.15,13.48,40893946
2020-01-22,13.17,13.57,13.17,13.55,35413424
2020-01-23,13.75,13.97,13.43,13.46,34370404
2020-01-24,13.27,14.53,13.21,14.26,101640431
